Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01     4319     0.00     0.00  CMatrix::copy(CMatrix const&)
  0.00      0.01     0.00    50018     0.00     0.00  std::char_traits<char>::eof()
  0.00      0.01     0.00    41680     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  0.00      0.01     0.00    33330     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::base() const
  0.00      0.01     0.00    33088     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator*() const
  0.00      0.01     0.00    25008     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  0.00      0.01     0.00    24870     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator++()
  0.00      0.01     0.00    16674     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_at_eof() const
  0.00      0.01     0.00    16652     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<char const>::operator()<__gnu_cxx::__normal_iterator<char*, std::string> >(__gnu_cxx::__normal_iterator<char*, std::string>)
  0.00      0.01     0.00    16643     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&)
  0.00      0.01     0.00    12807     0.00     0.00  CMatrix::reset()
  0.00      0.01     0.00     8337     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::equal(std::istreambuf_iterator<char, std::char_traits<char> > const&) const
  0.00      0.01     0.00     8336     0.00     0.00  bool std::operator!=<char, std::char_traits<char> >(std::istreambuf_iterator<char, std::char_traits<char> > const&, std::istreambuf_iterator<char, std::char_traits<char> > const&)
  0.00      0.01     0.00     8334     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator*() const
  0.00      0.01     0.00     8334     0.00     0.00  std::char_traits<char>::to_char_type(int const&)
  0.00      0.01     0.00     8334     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator++()
  0.00      0.01     0.00     6438     0.00     0.00  CMatrix::~CMatrix()
  0.00      0.01     0.00     4224     0.00     0.00  CMatrix::setSubMatrix(int, int, CMatrix const&)
  0.00      0.01     0.00     2205     0.00     0.00  CMatrix::CMatrix(CMatrix const&)
  0.00      0.01     0.00     2112     0.00     0.00  CMatrix::operator=(CMatrix const&)
  0.00      0.01     0.00     2112     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.01     0.00     2052     0.00     0.00  CMatrix::CMatrix(int, int, int, double)
  0.00      0.01     0.00     2051     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.01     0.00     2048     0.00     0.00  CMatrix::copy(double)
  0.00      0.01     0.00     2048     0.00     0.00  CMatrix::addColumn(CMatrix const&)
  0.00      0.01     0.00     2048     0.00     0.00  CMatrix::CMatrix(double)
